"author","community"
"Kwan Ho Ryan Chan","16"
"Chong You","16"
"Chaobing Song","16"
"Yi Ma","16"
"Pedro Savarese","56"
"Leonardo O. Mazza","56"
"Daniel R. Figueiredo","56"
"Pedro Savarese","56"
"Michael Maire","56"
"Pedro Savarese","56"
"Michael Maire","56"
"Oriol Vinyals","6"
"Yangqing Jia","6"
"Li Deng","6"
"Trevor Darrell","6"
"Shichang Tang","100"
"Seyyed Hossein HasanPour","27"
"Mohammad Rouhani","27"
"Mohammad Hossein Rouhani","27"
"Mohsen Fayyaz","27"
"Mohammad Sabokrou","27"
"Anubhav Jain","2"
"Ajay Jain","2"
"Pieter Abbeel","2"
"Deepak Pathak","2"
"Guo-Jun Qi","13"
"Jianwei Yang","49"
"Anitha Kannan","49"
"Dhruv Batra","49"
"Devi Parikh","49"
"Xuezhe Ma","1"
"Xiang Kong","1"
"Shanghang Zhang","1"
"Eduard Hovy","1"
"Vikas Verma","1"
"Alex Lamb","1"
"Christopher Beckham","1"
"Amir Abbas Najafi","1"
"Amir Najafi","1"
"Ioannis Mitliagkas","1"
"David Lopez-Paz","1"
"Yoshua Bengio","1"
"George Papamakarios","82"
"Theo Pavlakou","82"
"Iain Murray","82"
"Ian Goodfellow","2+1"
"David Warde-Farley","2+1"
"Mehdi Mirza","2+1"
"Aaron Courville","2+1"
"Yoshua Bengio","2+1"
"Yang Song","67"
"Chenlin Meng","67"
"Stefano Ermon","67"
"Diganta Misra","104"
"Diganta Misra","104"
"David Berthelot","2"
"Nicholas Carlini","2"
"Ian Goodfellow","2"
"Nicolas Papernot","2"
"Avital Oliver","2"
"Colin Raffel","2"
"Hongyi Zhang","1"
"Moustapha Cisse","1"
"Yann N. Dauphin","1"
"David Lopez-Paz","1"
"Qi Mao","33"
"Hsin-Ying Lee","33"
"Hung-Yu Tseng","33"
"Siwei Ma","33"
"Ming-Hsuan Yang","33"
"Animesh Karnewar","87"
"Oliver Wang","87"
"Dan Ciregan","15"
"Dan Ciresan","15"
"Ueli Meier","15"
"Juergen Schmidhuber","15"
"Jürgen Schmidhuber","15"
"Zhichao Lu","69"
"Kalyanmoy Deb","69"
"Vishnu Naresh Boddeti","69"
"Zhichao Lu","69"
"Kalyanmoy Deb","69"
"Vishnu Naresh Boddeti","69"
"Jyoti Aneja","7"
"Alexander G. Schwing","7"
"Jan Kautz","7"
"Arash Vahdat","7"
"Ming Liu","23"
"Liang Luo","23"
"Jacob Nelson","23"
"Luis Ceze","23"
"Arvind Krishnamurthy","23"
"Kishore Atreya","23"
"Kishore Badari Atreya","23"
"Xuanyi Dong","70"
"Yi Yang","70"
"Barret Zoph","4"
"Quoc V. Le","4"
"Catherine Wong","3"
"Neil Houlsby","3"
"Yifeng Lu","3"
"Andrea Gesmundo","3"
"Catherine Wong","3"
"Neil Houlsby","3"
"Yifeng Lu","3"
"Andrea Gesmundo","3"
"Catherine Wong","3"
"Neil Houlsby","3"
"Yifeng Lu","3"
"Andrea Gesmundo","3"
"Catherine Wong","3"
"Neil Houlsby","3"
"Yifeng Lu","3"
"Andrea Gesmundo","3"
"Catherine Wong","3"
