"author","community"
"Mark D. McDonnell",24
"Hesham Mostafa",24
"Runchun Wang",24
"A. van Schaik",24
"André van Schaik",24
"Benjamin Graham",67
"Oren Rippel",5
"Jasper Snoek",5
"Ryan P. Adams",5
"H M Dipu Kabir",7
"Moloud Abdar",7
"Seyed Mohammad Jafar Jalali",7
"Abbas Khosravi",7
"Amir F. Atiya",7
"Saeid Nahavandi",7
"Dipti Srinivasan",7
"H M Dipu Kabir",7
"Moloud Abdar",7
"Seyed Mohammad Jafar Jalali",7
"Abbas Khosravi",7
"Amir F. Atiya",7
"Saeid Nahavandi",7
"Dipti Srinivasan",7
"Jianbo Dong",3
"Zheng Cao",3
"Tao Zhang",3
"Jianxi Ye",3
"Shaochuang Wang",3
"Fei Feng",3
"Li Zhao",3
"Xiaoyong Liu",3
"Liuyihan Song",3
"Liwei Peng",3
"Pan Pan",3
"Yuan Xie",3
"Jianbo Dong",3
"Zheng Cao",3
"Tao Zhang",3
"Jianxi Ye",3
"Shaochuang Wang",3
"Fei Feng",3
"Li Zhao",3
"Xiaoyong Liu",3
"Liuyihan Song",3
"Liwei Peng",3
"Pan Pan",3
"Yuan Xie",3
"Jianbo Dong",3
"Zheng Cao",3
"Tao Zhang",3
"Jianxi Ye",3
"Shaochuang Wang",3
"Fei Feng",3
"Li Zhao",3
"Xiaoyong Liu",3
"Liuyihan Song",3
"Liwei Peng",3
"Pan Pan",3
"Yuan Xie",3
"Jianbo Dong",3
"Zheng Cao",3
"Tao Zhang",3
"Jianxi Ye",3
"Shaochuang Wang",3
"Fei Feng",3
"Li Zhao",3
"Xiaoyong Liu",3
"Liuyihan Song",3
"Liwei Peng",3
"Pan Pan",3
"Yuan Xie",3
"Jie Hu",50
"Li Shen",50
"Gang Sun",50
"Junbo Jake Zhao",18
"Michael Mathieu",18
"Ross Goroshin",18
"Yann LeCun",18
"Yahia Saeed Assiri",69
"Matthew D. Zeiler",65
"Rob Fergus",65
"Jost Tobias Springenberg",39
"Alexey Dosovitskiy",39
"Thomas Brox",39
"Martin Riedmiller",39
"Seyyed Hossein HasanPour",16
"Mohammad Rouhani",16
"Mohammad Hossein Rouhani",16
"Mohsen Fayyaz",16
"Mohammad Sabokrou",16
"Ehsan Adeli",16
"James M Murray",59
"James M. Murray",59
"Rupesh Kumar Srivastava",37
"Klaus Greff",37
"Juergen Schmidhuber",37
"Jürgen Schmidhuber",37
"Tal Ridnik",30
"Hussam Lawen",30
"Asaf Noy",30
"Itamar Friedman",30
"Mingming Gong",19
"Yanwu Xu",19
"Chunyuan Li",19
"Kun Zhang",19
"Kayhan Batmanghelich",19
"X.-C. Zhang",18
"Xiang Zhang",18
"Yann LeCun",18
"Jose Carranza-Rojas",27
