"author","community"
"Piotr Dollar",1
"Ross Girshick",1
"Huang Zhaojin",2
"Lichao Huang",2
"Yongchao Gong",2
"Chang Huang",2
"Xinggang Wang",2
"Huang Zhaojin",2
"Lichao Huang",2
"Yongchao Gong",2
"Chang Huang",2
"Xinggang Wang",2
"Huang Zhaojin",2
"Lichao Huang",2
"Yongchao Gong",2
"Chang Huang",2
"Xinggang Wang",2
"Siyuan Qiao",13
"Huiyu Wang",13
"Chenxi Liu",13
"Wei Shen",13
"Alan L. Yuille",13
"Siyuan Qiao",13
"Huiyu Wang",13
"Chenxi Liu",13
"Wei Shen",13
"Alan L. Yuille",13
"Xiaolong Wang",1
"Ross Girshick",1
"Abhinav Gupta",1
"Kaiming He",1
"Xiaolong Wang",1
"Ross Girshick",1
"Abhinav Gupta",1
"Kaiming He",1
"Xiaolong Wang",1
"Ross Girshick",1
"Abhinav Gupta",1
"Kaiming He",1
"Xiaolong Wang",1
"Ross Girshick",1
"Abhinav Gupta",1
"Kaiming He",1
"Xiaolong Wang",1
"Ross Girshick",1
"Abhinav Gupta",1
"Kaiming He",1
"Xiaolong Wang",1
"Ross Girshick",1
"Abhinav Gupta",1
"Kaiming He",1
"Shu Liu",1
"Lu Qi",1
"Haifang Qin",1
"Jianping Shi",1
"Jiaya Jia",1
"Nermin Samet",12
"Samet Hicsonmez",12
"Emre Akbas",12
"Ze Yang",4
"Shaohui Liu",4
"Han Hu",4
"Liwei Wang",4
"Stephen Lin",4
"Ze Yang",4
"Shaohui Liu",4
"Han Hu",4
"Liwei Wang",4
"Stephen Lin",4
"Ze Yang",4
"Shaohui Liu",4
"Han Hu",4
"Liwei Wang",4
"Stephen Lin",4
"Ze Yang",4
"Shaohui Liu",4
"Han Hu",4
"Liwei Wang",4
"Stephen Lin",4
"Ze Yang",4
"Shaohui Liu",4
"Han Hu",4
"Liwei Wang",4
"Stephen Lin",4
"Ze Yang",4
"Shaohui Liu",4
"Han Hu",4
"Liwei Wang",4
"Stephen Lin",4
"Ze Yang",4
"Shaohui Liu",4
"Han Hu",4
"Liwei Wang",4
"Stephen Lin",4
"Shanghua Gao",9
"Ming-Ming Cheng",9
"Kai Zhao",9
"Xin-Yu Zhang",9
"Ming-Hsuan Yang",9
"Philip H. S. Torr",9
"Shanghua Gao",9
"Ming-Ming Cheng",9
"Kai Zhao",9
"Xin-Yu Zhang",9
"Ming-Hsuan Yang",9
"Philip H. S. Torr",9
"Shanghua Gao",9
"Ming-Ming Cheng",9
"Kai Zhao",9
"Xin-Yu Zhang",9
"Ming-Hsuan Yang",9
"Philip H. S. Torr",9
"Shanghua Gao",9
"Ming-Ming Cheng",9
"Kai Zhao",9
"Xin-Yu Zhang",9
"Ming-Hsuan Yang",9
"Philip H. S. Torr",9
"Hang Zhang",3
"Chongruo Wu",3
"Zhongyue Zhang",3
"Yi Zhu",3
"Zhi Zhang",3
"Haibin Lin",3
"Yue Sun",3
"Tong He",3
"Jonas Mueller",3
"R. Manmatha",3
"Mu Li",3
"Alexander J. Smola",3
"Hang Zhang",3
"Chongruo Wu",3
"Zhongyue Zhang",3
"Yi Zhu",3
"Zhi Zhang",3
"Haibin Lin",3
"Yue Sun",3
"Tong He",3
"Jonas Mueller",3
"R. Manmatha",3
"Mu Li",3
"Alexander J. Smola",3
"Hang Zhang",3
"Chongruo Wu",3
"Zhongyue Zhang",3
"Yi Zhu",3
"Zhi Zhang",3
"Haibin Lin",3
"Yue Sun",3
"Tong He",3
"Jonas Mueller",3
"R. Manmatha",3
"Mu Li",3
"Alexander J. Smola",3
"Hang Zhang",3
"Chongruo Wu",3
"Zhongyue Zhang",3
"Yi Zhu",3
"Zhi Zhang",3
"Haibin Lin",3
"Yue Sun",3
"Tong He",3
"Jonas Mueller",3
"R. Manmatha",3
"Mu Li",3
"Alexander J. Smola",3
"Hang Zhang",3
"Chongruo Wu",3
"Zhongyue Zhang",3
"Yi Zhu",3
"Zhi Zhang",3
"Haibin Lin",3
"Yue Sun",3
"Tong He",3
"Jonas Mueller",3
"R. Manmatha",3
"Mu Li",3
"Alexander J. Smola",3
"Kaiming He",1
"Ross Girshick",1
"Piotr Dollar",1
"Kaiming He",1
"Ross Girshick",1
"Piotr Dollar",1
"Kaiming He",1
"Ross Girshick",1
"Piotr Dollar",1
"Wenbo Li",1
"Zhicheng Wang",1
"Binyi Yin",1
"Qixiang Peng",1
"Yuming Du",1
"Tianzi Xiao",1
"Gang Yu",1
"Hongtao Lu",1
"Yichen Wei",1
"Jian Sun",1
"Barret Zoph",1
"Golnaz Ghiasi",1
"Tsung-Yi Lin",1
"Yin Cui",1
"Hanxiao Liu",1
"Ekin D. Cubuk",1
"Quoc V. Le",1
"Cheng-Yang Fu",20
"Mykhailo Shvets",20
"Alexander C. Berg",20
"Yanghao Li",15
"Yuntao Chen",15
"Naiyan Wang",15
"Zhaoxiang Zhang",15
"Hao-Shu Fang",8
"Jianhua Sun",8
"Runzhong Wang",8
"Minghao Gou",8
"Yong-Lu Li",8
"Cewu Lu",8
"Hao-Shu Fang",8
"Jianhua Sun",8
"Runzhong Wang",8
"Minghao Gou",8
"Yong-Lu Li",8
"Cewu Lu",8
"Shaoqing Ren",1
"Kaiming He",1
"Ross Girshick",1
"Jian Sun",1
"Shaoqing Ren",1
"Kaiming He",1
"Ross Girshick",1
"Jian Sun",1
"Shaoqing Ren",1
"Kaiming He",1
"Ross Girshick",1
"Jian Sun",1
"Shaoqing Ren",1
"Kaiming He",1
"Ross Girshick",1
"Jian Sun",1
"Xianzhi Du",1
"Tsung-Yi Lin",1
"Pengchong Jin",1
"Golnaz Ghiasi",1
"Mingxing Tan",1
"Yin Cui",1
"Quoc V. Le",1
"Xiaodan Song",1
"Xianzhi Du",1
"Tsung-Yi Lin",1
"Pengchong Jin",1
"Golnaz Ghiasi",1
"Mingxing Tan",1
"Yin Cui",1
"Quoc V. Le",1
"Xiaodan Song",1
"Xianzhi Du",1
"Tsung-Yi Lin",1
"Pengchong Jin",1
"Golnaz Ghiasi",1
"Mingxing Tan",1
"Yin Cui",1
"Quoc V. Le",1
"Xiaodan Song",1
"Daniel Bolya",16
"Chong Zhou",16
"Fanyi Xiao",16
"Yong Jae Lee",16
