title,communities,metric,paper_date,communities_name
Feature Pyramid Networks for Object Detection@@@FPN+,1,39.8,2016-12-09,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"A Ranking-based, Balanced Loss Function Unifying Classification and Localisation in Object Detection@@@FoveaBox+aLRP Loss (ResNet-50, 500 scale)",12,39.7,2020-09-28,"{'Middle East Technical University', 'Hacettepe University'}"
Grid R-CNN@@@Grid R-CNN (ResNet-50-FPN),6,39.6,2018-11-29,"{'Zhejiang University', 'The Chinese University of Hong Kong', 'SenseTime'}"
"Adaptively Connected Neural Networks@@@Mask R-CNN (ResNet-50, ACNet)",21,not available,2019-04-07,"{'Sun Yat-sen University', 'University of California, Los Angeles'}"
"Feature Selective Anchor-Free Module for Single-Shot Object Detection@@@FSAF (ResNet-101, anchor-based branches)",19,39.3,2019-03-02,{'Carnegie Mellon University'}
Deep High-Resolution Representation Learning for Visual Recognition@@@Mask R-CNN (HRNetV2p-W18),2,39.2,2019-08-20,{'Huazhong University of Science and Technology'}
Non-local Neural Networks@@@Mask R-CNN (ResNet-50 + 1 NL),1,39.0,2017-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"FoveaBox: Beyond Anchor-based Object Detector@@@FoveaBox (ResNet-101-FPN, 800x800)",5,38.9,2019-04-08,{'Tsinghua University'}
FCOS: Fully Convolutional One-Stage Object Detection@@@FCOS (ResNet-50-FPN + improvements),3,38.6 ,2019-04-02,{'University of Adelaide'}
RepPoints: Point Set Representation for Object Detection@@@RPDet (ResNet-50),4,38.6,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
Libra R-CNN: Towards Balanced Learning for Object Detection@@@Libra R-CNN (ResNet-50 FPN),1,38.5,2019-04-04,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"A novel Region of Interest Extraction Layer for Instance Segmentation@@@Mask R-CNN (ResNet-50-FPN, GRoIE)",22,not available,2020-04-28,{'University of Parma'}
CornerNet: Detecting Objects as Paired Keypoints@@@CornerNet511 (Hourglass-104),14,38.4,2018-08-03,{'University of Michigan'}
FoveaBox: Beyond Anchor-based Object Detector@@@FoveaBox+Retina (ResNet-50),5,38.1,2019-04-08,{'Tsinghua University'}
Deep High-Resolution Representation Learning for Visual Recognition@@@Faster R-CNN (HRNetV2p-W18),2,38.0,2019-08-20,{'Huazhong University of Science and Technology'}
"FoveaBox: Beyond Anchor-based Object Detector@@@FoveaBox (ResNet-101-FPN, 600x600)",5,38,2019-04-08,{'Tsinghua University'}
Feature Selective Anchor-Free Module for Single-Shot Object Detection@@@FSAF (ResNet-101),19,37.9,2019-03-02,{'Carnegie Mellon University'}
Mask R-CNN@@@Mask R-CNN (ResNet-50-FPN),1,37.7,2017-03-20,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"A novel Region of Interest Extraction Layer for Instance Segmentation@@@Faster R-CNN (ResNet-50-FPN, GRoIE)",22,37.5,2020-04-28,{'University of Parma'}
Mask R-CNN@@@Mask R-CNN (ResNeXt-101-FPN),1,36.7,2017-03-20,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"FoveaBox: Beyond Anchor-based Object Detector@@@FoveaBox (ResNet-50-FPN, 600x600)",5,36.0,2019-04-08,{'Tsinghua University'}
Feature Selective Anchor-Free Module for Single-Shot Object Detection@@@FSAF (ResNet-50),19,35.9,2019-03-02,{'Carnegie Mellon University'}
"Gradient Harmonized Single-stage Detector@@@GHM-C + GHM-R (RetinaNet-FPN-ResNet-50, M=30)",6,35.8,2018-11-13,"{'Zhejiang University', 'The Chinese University of Hong Kong', 'SenseTime'}"
Generating Positive Bounding Boxes for Balanced Training of Object Detectors@@@Online Fg Bal. Sampling+Hard Negative Mining (ResNet-50),12,35.6,2019-09-21,"{'Middle East Technical University', 'Hacettepe University'}"
"M2Det: A Single-Shot Object Detector based on Multi-Level Feature Pyramid Network@@@M2Det (ResNet-1o1, 320x320)",7,34.1,2018-11-12,"{'Peking University', 'Temple University'}"
Res2Net: A New Multi-scale Backbone Architecture@@@Faster R-CNN (Res2Net-50),9,not available,2019-04-02,"{'Nankai University', 'University of California, Merced', 'University of Oxford'}"
"M2Det: A Single-Shot Object Detector based on Multi-Level Feature Pyramid Network@@@M2Det (VGG-16, 320x320)",7,33.2,2018-11-12,"{'Peking University', 'Temple University'}"
CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask-VoVNetV2-99 (multi-scale),23,not available,2019-11-15,{'Electronics and Telecommunications Research Institute'}
ResNeSt: Split-Attention Networks@@@ResNeSt-101 (single-scale),3,not available,2020-04-19,{'University of Adelaide'}
Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net-101+HTC,9,not available,2019-04-02,"{'Nankai University', 'University of California, Merced', 'University of Oxford'}"
Deep High-Resolution Representation Learning for Human Pose Estimation@@@HTC (HRNetV2p-W48),2,not available,2019-02-25,{'Huazhong University of Science and Technology'}
"Non-local Neural Networks@@@Mask R-CNN (ResNext-152, +1 NL)",1,not available,2017-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask-VoVNetV2-99-3x,23,not available,2019-11-15,{'Electronics and Telecommunications Research Institute'}
Mask Scoring R-CNN@@@Mask Scoring R-CNN (ResNet-101-FPN-DCN),2,not available,2019-03-01,{'Huazhong University of Science and Technology'}
Hybrid Task Cascade for Instance Segmentation@@@HTC (ResNet-50),1,not available,2019-01-22,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
Mask Scoring R-CNN@@@Mask Scoring R-CNN (ResNet-101 FPN),2,not available,2019-03-01,{'Huazhong University of Science and Technology'}
Path Aggregation Network for Instance Segmentation@@@PANet (ResNet-50),1,not available,2018-03-05,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"A novel Region of Interest Extraction Layer for Instance Segmentation@@@GCnet (ResNet-50-FPN, GRoIE)",22,not available,2020-04-28,{'University of Parma'}
"Non-local Neural Networks@@@Mask R-CNN (ResNet-101, +1 NL)",1,not available,2017-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
Mask Scoring R-CNN@@@Mask Scoring R-CNN (ResNet-50 FPN),2,not available,2019-03-01,{'Huazhong University of Science and Technology'}
"Non-local Neural Networks@@@Mask R-CNN (ResNet-50, +1 NL)",1,not available,2017-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
YOLACT: Real-time Instance Segmentation@@@YOLACT-550 (ResNet-50),16,not available,2019-04-04,"{'University of California, Davis'}"
